PRODUTC,VALUE,DATETIME,CELL_ON_SITE,DW_A_NUMBER_INT,DW_B_NUMBER_INT,COUNTRY_A,COUNTRY_B,CELL_ID,SITE_ID
sms,50,2012-05-06 23:11:14.0,1,8ac7935e68f6ab3,a9e781764b4728a,19e2e,19e2e,2FzOAUm82C,2FzOAUm82C
data,0,2012-05-06 23:11:27.0,_,795c2a90bd8d442,5a4dc9e82deb309,19e2e,OTHER,2yuhUrSXQu,2yuhUrSXQu
Voice,0,2012-05-06 23:11:27.0,1,1a2b54695968d46,55ad144fa74fddc,19e2e,19e2e,3mQAiRAfo7,3mQAiRAfo7
data,0,2012-05-06 23:12:07.0,_,0471428956c85d0,5a4dc9e82deb309,19e2e,OTHER,2FzOAUm82C,2FzOAUm82C
Voice,0,2012-05-06 23:12:10.0,2,12c6cf3d45dc493,8f6917492bd38a0,19e2e,19e2e,+gySf02tKW,+gySf02tKW
Voice,19,2012-05-06 23:12:25.0,0,b0ffeee6fe3c759,3f830c98519c5e9,19e2e,19e2e,/EkqCbWDau,/EkqCbWDau
sms,25,2012-05-06 23:12:25.0,0,21939efec26bf4e,ba7e17ea91737fa,19e2e,19e2e,/kxqxDGV0Z,/kxqxDGV0Z
sms,0,2012-05-06 23:12:36.0,2,1e9789aacb2b6dd,93343ba6e41af95,19e2e,19e2e,4K++Px614U,4K++Px614U
Voice,192,2012-05-06 23:12:43.0,1,03dd5e41773fcf1,baef1e51b1c085e,19e2e,19e2e,1AX75JmPtt,1AX75JmPtt
sms,0,2012-05-06 23:12:45.0,1,68ec294ea33925a,35d1617eb07cfbd,19e2e,19e2e,0nabagle1r,0nabagle1r
Voice,99,2012-05-06 23:13:03.0,2,b3944e04b20094c,3f1bbb086396478,19e2e,19e2e,/u0FSD+ahi,/u0FSD+ahi
data,0,2012-05-06 23:13:05.0,_,0fd250fbfa13e35,5a4dc9e82deb309,19e2e,OTHER,+pZNtCvhmT,+pZNtCvhmT
sms,0,2012-05-06 23:13:09.0,1,9fd3fa5a17daf4b,961e7b6cbac744d,19e2e,19e2e,0MZBLLzPYZ,0MZBLLzPYZ
Voice,0,2012-05-06 23:13:13.0,2,252aa99ab878f94,19e68e80103885e,19e2e,19e2e,/kxqxDGV0Z,/kxqxDGV0Z
Voice,12,2012-05-06 23:13:23.0,5,83b900a619f705e,ee36bac8c42e2a0,19e2e,19e2e,4506CmswTv,4506CmswTv
Voice,0,2012-05-06 23:13:30.0,1,7eed97ed1f49805,04fcb7a2ddfa114,19e2e,19e2e,/+cKZKIp41,/+cKZKIp41
Voice,24,2012-05-06 23:13:41.0,2,f18d8c4d2650b28,f191d414e19b647,19e2e,19e2e,/vLAMOS+Qm,/vLAMOS+Qm
Voice,0,2012-05-06 23:13:45.0,2,493d46f989df544,19e68e80103885e,19e2e,19e2e,0nabagle1r,0nabagle1r
data,0,2012-05-06 23:13:59.0,_,ca7e0aacd143f2c,5a4dc9e82deb309,19e2e,OTHER,1DLa1Gsiik,1DLa1Gsiik
Voice,1610,2012-05-06 23:14:03.0,1,b2b3dbfe5ce4bc1,5bd824717c81913,19e2e,19e2e,47yB6si0R9,47yB6si0R9
Voice,0,2012-05-06 23:14:08.0,0,36ce4d9e29bfdbb,627f696d781c521,19e2e,19e2e,0K+IDi1yjl,0K+IDi1yjl
data,0,2012-05-06 23:14:20.0,_,9c91f5f17d98d25,5a4dc9e82deb309,19e2e,OTHER,051KhYDCpv,051KhYDCpv
sms,0,2012-05-06 23:14:40.0,1,d6dec69142f5f5a,679f88c531065ba,19e2e,19e2e,0eNnL1pokg,0eNnL1pokg
data,0,2012-05-06 23:15:04.0,_,ae42b2028567b5d,5a4dc9e82deb309,19e2e,OTHER,+laSrk7g6q,+laSrk7g6q
data,0,2012-05-06 23:15:04.0,_,a45bebd9e2b19a5,5a4dc9e82deb309,19e2e,OTHER,/eeMklgyJA,/eeMklgyJA
data,0,2012-05-06 23:15:09.0,_,cb8f0c91086fadd,5a4dc9e82deb309,19e2e,OTHER,+gQ2AvXjaO,+gQ2AvXjaO
Voice,14,2012-05-06 23:15:34.0,1,93f049b70a6385e,3999882b87379e2,19e2e,19e2e,35gi1DzgNK,35gi1DzgNK
Voice,152,2012-05-06 23:15:41.0,1,181fd413bd05a41,efdd10a06033e4a,19e2e,19e2e,54Pb8dz/52,54Pb8dz/52
Voice,138,2012-05-06 23:15:44.0,3,a7bdf6a50f8f847,66883e332453e1a,19e2e,19e2e,+38u2u/rfx,+38u2u/rfx
sms,0,2012-05-06 23:15:44.0,1,604372755943531,06817148de3ca32,19e2e,19e2e,+pZNtCvhmT,+pZNtCvhmT
Voice,30,2012-05-06 23:15:46.0,2,cc4f76d42d5a21f,2d6397576ae9152,19e2e,19e2e,1AX75JmPtt,1AX75JmPtt
sms,0,2012-05-06 23:15:48.0,0,afd684b4cffdee7,319a2143a4191d9,19e2e,19e2e,5RMks2Nhbt,5RMks2Nhbt
sms,0,2012-05-06 23:15:58.0,1,92d0003b1405a09,a167135c140a545,19e2e,OTHER,5RMks2Nhbt,5RMks2Nhbt
sms,0,2012-05-06 23:16:00.0,1,ecc5a1a16d86e83,0b02b98799ce11f,19e2e,19e2e,5bFHC1hRn8,5bFHC1hRn8
Voice,192,2012-05-06 23:16:02.0,2,daa196aae52640f,314143ad0d2f94b,19e2e,19e2e,0BRdojv2my,0BRdojv2my
sms,0,2012-05-06 23:16:05.0,2,4d4d215e2d934be,8f1eae9b235323f,19e2e,19e2e,+ZaaZozy/+,+ZaaZozy/+
Voice,0,2012-05-06 23:16:14.0,1,5adcd455399cdd8,ab5e1ede47a452e,19e2e,19e2e,2dmu2Iy1CX,2dmu2Iy1CX
Voice,0,2012-05-06 23:16:14.0,1,da76c9090f43e57,943a1edcb0b1241,19e2e,19e2e,51qrsXM+vt,51qrsXM+vt
Voice,0,2012-05-06 23:16:15.0,5,42fe0f47108cf94,ff17850074a3b9e,19e2e,19e2e,0MZBLLzPYZ,0MZBLLzPYZ
Voice,0,2012-05-06 23:16:42.0,1,6e3160f573cb5e7,cdcb1b47490a1eb,19e2e,19e2e,+gQ2AvXjaO,+gQ2AvXjaO
Voice,1,2012-05-06 23:16:52.0,2,e8990748d60e2b9,6a55cb848fb1f95,19e2e,19e2e,5lXcKLcxWE,5lXcKLcxWE
Voice,30,2012-05-06 23:16:54.0,4,6154eb39623c0fa,d1e1973bf3f5813,19e2e,19e2e,0DeimCpZOc,0DeimCpZOc
data,0,2012-05-06 23:17:02.0,_,e4e56cc9aef184a,5a4dc9e82deb309,19e2e,OTHER,3T/wsniMlZ,3T/wsniMlZ
Voice,2,2012-05-06 23:17:04.0,1,558120c4db30da4,2940e774bb5cc71,19e2e,19e2e,1mtIa2GRBc,1mtIa2GRBc
Voice,17,2012-05-06 23:17:07.0,1,380b266db76ef36,7d6200b049e82d9,19e2e,19e2e,/0LopuZdd7,/0LopuZdd7
sms,0,2012-05-06 23:17:09.0,1,b2709c518000035,1cb5baa42414c09,19e2e,19e2e,1JODMow6DN,1JODMow6DN
sms,0,2012-05-06 23:17:12.0,1,9938d2d3c72399e,15706a45bf23919,19e2e,19e2e,1DLa1Gsiik,1DLa1Gsiik
Voice,0,2012-05-06 23:17:15.0,2,6f19dbedcbc7adb,cb8f109b5c0db02,19e2e,19e2e,0MZBLLzPYZ,0MZBLLzPYZ
Voice,22,2012-05-06 23:17:26.0,1,6ef04af9aba7664,f0594085fa4dc29,19e2e,19e2e,6dZgOHeA29,6dZgOHeA29
data,20,2012-05-06 23:17:34.0,_,7a73858980301a4,5a4dc9e82deb309,19e2e,OTHER,+38u2u/rfx,+38u2u/rfx
Voice,21,2012-05-06 23:17:35.0,0,f106ca55f4a7d4d,16eb186c8eec862,19e2e,19e2e,3UXdSkM8V3,3UXdSkM8V3
Voice,21,2012-05-06 23:17:38.0,2,a59057f3ae5d93c,f48942a873250a9,19e2e,19e2e,60rBK3VnF7,60rBK3VnF7
Voice,27,2012-05-06 23:17:43.0,1,93e51bf562c41ed,1cbb833dfc260dc,19e2e,19e2e,4wcFwPWjZJ,4wcFwPWjZJ
sms,0,2012-05-06 23:17:58.0,1,0e80ff8bbb8a305,9a73be24b32e7f7,19e2e,19e2e,/eeMklgyJA,/eeMklgyJA
sms,0,2012-05-06 23:18:07.0,1,dcedf150f15b1d1,2268da7261a4954,19e2e,19e2e,18iJZATMMC,18iJZATMMC
Voice,16,2012-05-06 23:18:18.0,0,0f60d1525b456dd,e6eac19beeef28f,19e2e,19e2e,3u865XIo6c,3u865XIo6c
Voice,35,2012-05-06 23:18:24.0,0,3a78e2a3e1f554f,0c2dac3b4d8db53,19e2e,19e2e,3zwc9ry2i5,3zwc9ry2i5
sms,0,2012-05-06 23:18:35.0,4,9af3ad3c0ac209f,541c22fc455326b,19e2e,19e2e,2LuHm8D2MC,2LuHm8D2MC
sms,0,2012-05-06 23:18:41.0,0,fc29d09837d792a,aaaf0e4bdec7311,19e2e,19e2e,7ECXh+RvQZ,7ECXh+RvQZ
Voice,0,2012-05-06 23:18:47.0,5,745bbfd1f72cae8,dc241ca171f791d,19e2e,19e2e,4iv1FNJ67I,4iv1FNJ67I
Voice,201,2012-05-06 23:19:00.0,0,a49667cb69c38bf,27508193f23a09b,19e2e,19e2e,22Z3fM8uPX,22Z3fM8uPX
Voice,14,2012-05-06 23:19:04.0,1,113bfd52be7d647,f282d974e5d0b80,19e2e,19e2e,44o98M/wq3,44o98M/wq3
sms,0,2012-05-06 23:19:06.0,1,2097ee231e6607a,32433760a16d6a0,19e2e,19e2e,77XAFQmoad,77XAFQmoad
sms,0,2012-05-06 23:19:09.0,1,7c52cea484856d4,e4943767888b71e,19e2e,19e2e,35gi1DzgNK,35gi1DzgNK
Voice,0,2012-05-06 23:19:14.0,0,da45e1d1637ca27,00aa565e559b72c,19e2e,19e2e,01MDiY5F89,01MDiY5F89
Voice,74,2012-05-06 23:19:28.0,2,8d53d02164e224d,e8c3a722ce885d3,19e2e,19e2e,2cj/HbqLAV,2cj/HbqLAV
Voice,0,2012-05-06 23:19:30.0,5,22671dc72653a38,b22f97a97a5f14c,19e2e,19e2e,0/eYPFomxx,0/eYPFomxx
Voice,0,2012-05-06 23:19:30.0,4,31fd363604c4492,19e68e80103885e,19e2e,19e2e,3cVu6QQcZ6,3cVu6QQcZ6
Voice,0,2012-05-06 23:19:49.0,0,71b9974b00f24d2,fb3413b0c455588,19e2e,19e2e,2ygIBia4Re,2ygIBia4Re
sms,0,2012-05-06 23:19:59.0,2,cb6a02fde166b94,aaaf0e4bdec7311,19e2e,19e2e,+weksowKR7,+weksowKR7
sms,0,2012-05-06 23:20:28.0,1,03acafb19701ab5,e61ad60cd75d305,19e2e,19e2e,301gn/BrU5,301gn/BrU5
Voice,0,2012-05-06 23:20:47.0,4,a98edb163d40b7b,55ad144fa74fddc,19e2e,19e2e,+854AcBQT2,+854AcBQT2
Voice,31,2012-05-06 23:20:50.0,2,5f1885cff7736f9,628171e4aa59f04,19e2e,19e2e,4wcFwPWjZJ,4wcFwPWjZJ
sms,0,2012-05-06 23:21:20.0,0,2b3dd08f3b1bd5f,e09e736e46c5c3d,19e2e,19e2e,/MMplBlWjh,/MMplBlWjh
sms,0,2012-05-06 23:21:30.0,1,26bba173fb6c85a,2d4a359d7bc0c55,19e2e,19e2e,6KGV6b77hq,6KGV6b77hq
Voice,3,2012-05-06 23:21:31.0,1,57850d753b4fd91,99f718df6351c6e,19e2e,19e2e,8JgRZeFDVZ,8JgRZeFDVZ
Voice,38,2012-05-06 23:21:37.0,0,5c1e0cc5b8fd177,0903612915f5d06,19e2e,19e2e,2yuhUrSXQu,2yuhUrSXQu
data,0,2012-05-06 23:21:38.0,_,8dbee05f1afc0cf,5a4dc9e82deb309,19e2e,OTHER,2vqM21lFHK,2vqM21lFHK
sms,0,2012-05-06 23:21:39.0,3,3d4b2181dd017e8,aaaf0e4bdec7311,19e2e,19e2e,2aXXOLyR5M,2aXXOLyR5M
sms,0,2012-05-06 23:21:39.0,2,bf7d30ef33ca888,93343ba6e41af95,19e2e,19e2e,4Qx5kxOMvS,4Qx5kxOMvS
sms,0,2012-05-06 23:21:53.0,1,e5c2cc984ff1bc0,e09e736e46c5c3d,19e2e,19e2e,3K9ACMNajP,3K9ACMNajP
sms,0,2012-05-06 23:22:06.0,0,0eab4d27aaae9a1,0a03b9c3bea26b8,19e2e,19e2e,++ctND+jGD,++ctND+jGD
Voice,30,2012-05-06 23:22:12.0,1,39f91484dfd8b21,52b56561a0ed734,19e2e,19e2e,6i0cAvBgMU,6i0cAvBgMU
Voice,20,2012-05-06 23:22:19.0,2,0c326e06cd83685,5f8e3c173a5bae6,19e2e,19e2e,8GqjWcIWAp,8GqjWcIWAp
Voice,7,2012-05-06 23:22:29.0,4,2b5137576a90a4e,471eebae649387d,19e2e,19e2e,5HIw+QO+tV,5HIw+QO+tV
sms,0,2012-05-06 23:22:34.0,2,f17358661834989,134bbf8c92d93db,19e2e,19e2e,3mQAiRAfo7,3mQAiRAfo7
Voice,286,2012-05-06 23:22:39.0,5,9bb5fcaef72f1fe,1ceb523ce24ad33,19e2e,19e2e,40+2aJ4uAc,40+2aJ4uAc
sms,70,2012-05-06 23:22:41.0,0,30973cc5a6def6c,aabb5ec75adac4f,19e2e,OTHER,6/1Gti3zBg,6/1Gti3zBg
sms,0,2012-05-06 23:22:49.0,1,b742982e28cf064,66caa57592be89f,19e2e,19e2e,5RMks2Nhbt,5RMks2Nhbt
Voice,13,2012-05-06 23:22:57.0,0,3224e03c0529544,43e64335f205c10,19e2e,19e2e,5IfBEq1g5D,5IfBEq1g5D
Voice,0,2012-05-06 23:23:13.0,0,2a7a5f95ab3b0f0,b41bc0d22c6a6ab,19e2e,19e2e,54Pb8dz/52,54Pb8dz/52
sms,0,2012-05-06 23:23:16.0,1,1c412d42a13c1c1,64c999d0f55d5c6,19e2e,19e2e,0mXwALOFFi,0mXwALOFFi
Voice,30,2012-05-06 23:23:16.0,2,746a2877dd3618e,5a182b7ab3097b5,19e2e,19e2e,4pw2r6WOLL,4pw2r6WOLL
sms,0,2012-05-06 23:23:22.0,5,a7615a4f6f95093,6871dcd14e4331f,19e2e,19e2e,0nabagle1r,0nabagle1r
Voice,39,2012-05-06 23:23:30.0,5,e70865c15a25eec,740131bda41832e,19e2e,19e2e,4Y/9Swxhql,4Y/9Swxhql
Voice,138,2012-05-06 23:23:45.0,0,4c0d3021cf19c30,5a3b7380982f39a,19e2e,19e2e,2PbwFG2K9y,2PbwFG2K9y
Voice,0,2012-05-06 23:23:49.0,2,7e4fcd10d5e475d,b724a20f32a33e2,19e2e,19e2e,2PbwFG2K9y,2PbwFG2K9y
Voice,14,2012-05-06 23:24:00.0,0,b78a47161051bf5,9e9622206ec7d1a,19e2e,OTHER,A0Zx8a4rBD,A0Zx8a4rBD
sms,25,2012-05-06 23:24:05.0,5,68c0e4f9b768ef4,f9a86efb9c574fa,19e2e,19e2e,5RMks2Nhbt,5RMks2Nhbt
data,0,2012-05-06 23:24:07.0,_,4361335ecf93a47,5a4dc9e82deb309,19e2e,OTHER,5pIl0RaDmd,5pIl0RaDmd
sms,0,2012-05-06 23:24:12.0,1,39ab70b77d99ebf,7284650141a1b25,19e2e,19e2e,+laSrk7g6q,+laSrk7g6q
data,0,2012-05-06 23:24:12.0,_,4361335ecf93a47,5a4dc9e82deb309,19e2e,OTHER,5lXcKLcxWE,5lXcKLcxWE
Voice,0,2012-05-06 23:24:45.0,2,38d2f9c98430808,d9968332fd09cf3,19e2e,19e2e,+bO+qkSonO,+bO+qkSonO
sms,0,2012-05-06 23:24:51.0,1,6d10227297efcb9,7af76c2046e02f3,19e2e,OTHER,/vLAMOS+Qm,/vLAMOS+Qm
sms,0,2012-05-06 23:25:01.0,1,1d6e3dcef04e6d0,e09e736e46c5c3d,19e2e,19e2e,2yuhUrSXQu,2yuhUrSXQu
sms,0,2012-05-06 23:25:15.0,0,bd17c0f00f98563,dd0246186f87f0c,19e2e,19e2e,69PzMuWJR2,69PzMuWJR2
sms,0,2012-05-06 23:25:16.0,2,109fbb071cde1dc,c882419bfde72d2,19e2e,19e2e,+ZaaZozy/+,+ZaaZozy/+
sms,0,2012-05-06 23:25:43.0,3,a1f29bc719e68e6,7af76c2046e02f3,19e2e,OTHER,6wx/uwX8LG,6wx/uwX8LG
Voice,0,2012-05-06 23:25:50.0,2,fd2aeb27d16ccfd,bbdf90b74cc7e3c,19e2e,19e2e,6I6iMT9PAR,6I6iMT9PAR
sms,0,2012-05-06 23:25:53.0,1,e94825dce084409,aaaf0e4bdec7311,19e2e,19e2e,+laSrk7g6q,+laSrk7g6q
Voice,11,2012-05-06 23:25:57.0,0,f5d926493c663b2,f786fb8afb48706,19e2e,19e2e,6N2tX92Rn0,6N2tX92Rn0
Voice,0,2012-05-06 23:26:00.0,1,4db12f676790c4c,e59d8d980c555b6,19e2e,19e2e,5lXcKLcxWE,5lXcKLcxWE
Voice,1,2012-05-06 23:26:00.0,2,6f1a0116d5e0138,236c47c4ee5d10a,19e2e,19e2e,7ivh8SIq8X,7ivh8SIq8X
Voice,0,2012-05-06 23:26:05.0,4,6b93e8ba8ba2970,4f44c5a94421c18,19e2e,19e2e,2GgIN622rt,2GgIN622rt
Voice,53,2012-05-06 23:26:17.0,2,3b1846b035389a9,728f1ce4f2caa68,19e2e,19e2e,7ECXh+RvQZ,7ECXh+RvQZ
sms,25,2012-05-06 23:26:21.0,0,2e1c82e7ecf7ba4,6116f553d3ffdfc,19e2e,19e2e,8kPSO4xAwY,8kPSO4xAwY
Voice,0,2012-05-06 23:26:28.0,1,0e5cffb0c41a3ab,ef03ac1e8c72262,19e2e,19e2e,5bFHC1hRn8,5bFHC1hRn8
Voice,61,2012-05-06 23:26:33.0,1,bb163240c184445,32ffd2d39577ba9,19e2e,19e2e,4H/1KJoHPN,4H/1KJoHPN
Voice,11,2012-05-06 23:26:35.0,1,c07a36b46859c4b,63661a62aeb9370,19e2e,19e2e,A+qPfLMWEo,A+qPfLMWEo
Voice,0,2012-05-06 23:26:42.0,0,c127c7938c3c784,abd23c2a411ece3,19e2e,19e2e,32deIlH9L6,32deIlH9L6
Voice,28,2012-05-06 23:26:43.0,1,1cc3fdf579561e2,ab7094ec89b4240,19e2e,19e2e,4nmbKTjvfr,4nmbKTjvfr
sms,0,2012-05-06 23:27:00.0,2,c89e7946bd3b077,6661e1aaaf16d54,19e2e,19e2e,13HRN5dKgY,13HRN5dKgY
Voice,30,2012-05-06 23:27:07.0,2,3de61c2075d15cc,a38687e3f59cfe9,19e2e,19e2e,6X4+hML4kB,6X4+hML4kB
Voice,30,2012-05-06 23:27:08.0,4,87741c5bd373f84,6d6f743d76d674d,19e2e,19e2e,3zwc9ry2i5,3zwc9ry2i5
Voice,0,2012-05-06 23:27:10.0,0,08306de94541817,21cf3598b8705f2,19e2e,19e2e,77XAFQmoad,77XAFQmoad
sms,0,2012-05-06 23:27:10.0,0,d3a3773b0f5f17d,086fe7bca803ea4,19e2e,19e2e,7ECXh+RvQZ,7ECXh+RvQZ
Voice,0,2012-05-06 23:27:21.0,0,248de61e945d3a4,1a49f8b0ded9de6,19e2e,19e2e,BJBWybkIl8,BJBWybkIl8
Voice,49,2012-05-06 23:27:25.0,3,b98b68450360d41,56f140454991f03,19e2e,OTHER,4bv77IHLBw,4bv77IHLBw
sms,0,2012-05-06 23:27:29.0,0,a7b5cee5b759de0,aaaf0e4bdec7311,19e2e,19e2e,AG8APtQS4J,AG8APtQS4J
Voice,0,2012-05-06 23:27:33.0,1,1ceb22bf1d269d4,f81cf4e69cc29ae,19e2e,19e2e,4eA1+4uyTK,4eA1+4uyTK
Voice,0,2012-05-06 23:27:49.0,4,1c1e4e05ad4ccd7,576e2e9e0f64c88,19e2e,19e2e,84GaTlSvVd,84GaTlSvVd
Voice,0,2012-05-06 23:28:03.0,4,f8b6f912213183d,a69179112b7f84f,19e2e,19e2e,7OeLONGBwT,7OeLONGBwT
sms,0,2012-05-06 23:28:11.0,0,df763d440efdd77,3580631b6046c0a,19e2e,19e2e,++ctND+jGD,++ctND+jGD
sms,0,2012-05-06 23:28:12.0,0,5bc1392173563bb,158fac5b0923134,19e2e,19e2e,6/1Gti3zBg,6/1Gti3zBg
data,1,2012-05-06 23:28:13.0,_,ceba4026b2c1d50,5a4dc9e82deb309,19e2e,OTHER,1AX75JmPtt,1AX75JmPtt
sms,0,2012-05-06 23:28:30.0,1,f9425d2789370e0,11afe2a5aaa1cbf,19e2e,19e2e,0mXwALOFFi,0mXwALOFFi
Voice,0,2012-05-06 23:28:31.0,1,8289c0a4598fcf7,36444e531eb6d38,19e2e,19e2e,0eA3S0GqHt,0eA3S0GqHt
sms,0,2012-05-06 23:28:33.0,1,acc1a1e1bb9c368,320cfe559578234,19e2e,19e2e,A8DVFRC4Ga,A8DVFRC4Ga
Voice,12,2012-05-06 23:28:35.0,3,aaa512324e32c75,a14cbaf10f402c2,19e2e,19e2e,0ttcCQTcpb,0ttcCQTcpb
Voice,90,2012-05-06 23:28:35.0,2,53e62a529117bbc,b46034a5b54a59b,19e2e,19e2e,9/CstAxGD8,9/CstAxGD8
Voice,192,2012-05-06 23:28:36.0,4,ccc942fcd6b9b3e,701304e7ff9da87,19e2e,19e2e,0mXwALOFFi,0mXwALOFFi
Voice,9,2012-05-06 23:28:37.0,2,4aa67a2bcaa5b1d,94bb8f9ba490938,19e2e,19e2e,8lrPAakdPZ,8lrPAakdPZ
sms,0,2012-05-06 23:28:47.0,2,adac831fa5d80a3,f4c13ca546149ea,19e2e,19e2e,7F6i1EIq/7,7F6i1EIq/7
Voice,0,2012-05-06 23:29:01.0,4,d13c694a7a344d7,a393e26e84f93b3,19e2e,19e2e,3zwc9ry2i5,3zwc9ry2i5
sms,25,2012-05-06 23:29:02.0,0,eb020d1fe3dfa91,fc460c01823bb43,19e2e,19e2e,Co2R4AZ8Ux,Co2R4AZ8Ux
sms,0,2012-05-06 23:29:14.0,0,8457b1f9510b4b4,b7db0df467dae50,19e2e,19e2e,2aXXOLyR5M,2aXXOLyR5M
sms,0,2012-05-06 23:29:16.0,2,5b17fadcd6de6ca,0d8f780fbaa54e1,19e2e,19e2e,+QZ9qRtNxA,+QZ9qRtNxA
Voice,47,2012-05-06 23:29:26.0,0,6fadca672063cda,d7596b9504fe3fc,19e2e,19e2e,9Ex/t6MZkC,9Ex/t6MZkC
Voice,0,2012-05-06 23:29:28.0,2,03aa70b24a4409d,c6393d8c6da9642,19e2e,19e2e,8kLhFbpw0Y,8kLhFbpw0Y
sms,25,2012-05-06 23:29:29.0,0,f1925034411dc60,1f22d554bf8ddfa,19e2e,19e2e,6wAT3Dufmo,6wAT3Dufmo
sms,0,2012-05-06 23:29:32.0,0,5efc78eed0199e1,aaaf0e4bdec7311,19e2e,19e2e,8lrPAakdPZ,8lrPAakdPZ
sms,0,2012-05-06 23:29:40.0,2,cbd7a759ccd03d7,e09e736e46c5c3d,19e2e,19e2e,CiW7Jvq070,CiW7Jvq070
Voice,16,2012-05-06 23:29:45.0,1,4741bda5a0e920b,76446338dce9b4d,19e2e,19e2e,7vwqp+zGUZ,7vwqp+zGUZ
sms,0,2012-05-06 23:29:50.0,0,f336a52cfb3028b,f68760c9c8a025c,19e2e,19e2e,5GsUmPuoet,5GsUmPuoet
sms,0,2012-05-06 23:29:51.0,0,d7ec044e4279b11,d0442a8f5e3051f,19e2e,19e2e,2FzOAUm82C,2FzOAUm82C
sms,25,2012-05-06 23:29:53.0,0,6d99688d1ff9e7a,113e0b82148aa73,19e2e,19e2e,3IoIGy1+o8,3IoIGy1+o8
Voice,0,2012-05-06 23:29:56.0,0,13e81f502d5f86a,07c419df835a55e,19e2e,19e2e,5pIl0RaDmd,5pIl0RaDmd
sms,0,2012-05-06 23:30:14.0,2,f311f8235d2f293,7af76c2046e02f3,19e2e,OTHER,8Wvb3sNuru,8Wvb3sNuru
sms,0,2012-05-06 23:30:17.0,3,a1f29bc719e68e6,7af76c2046e02f3,19e2e,OTHER,7OeLONGBwT,7OeLONGBwT
Voice,2,2012-05-06 23:30:23.0,1,ac11c780e55a432,67b59bd31c80fc7,19e2e,19e2e,54Pb8dz/52,54Pb8dz/52
