PRODUCT,VALUE,DATE_TIME,CELL_ON_SITE,DW_A_NUMBER,DW_B_NUMBER,COUNTRY_A,COUNTRY_B,CELL_ID,SITE_ID
sms,0,2012-05-07 23:24:45.0,2,17cc32098d82af1,aaaf0e4bdec7311,19e2e,19e2e,5HRxdUQlOC,5HRxdUQlOC
Voice,0,2012-05-07 23:24:53.0,4,9f0ad74aaa0bd62,fbc55604a8c80f5,19e2e,19e2e,4jFl+3ArCh,4jFl+3ArCh
data,0,2012-05-07 23:24:59.0,_,a50fad8c407a740,5a4dc9e82deb309,19e2e,OTHER,7tlY9abDqe,7tlY9abDqe
data,5,2012-05-07 23:25:10.0,_,c4892f7cfd02dc4,5a4dc9e82deb309,19e2e,OTHER,+38u2u/rfx,+38u2u/rfx
Voice,0,2012-05-07 23:25:24.0,0,3faf88ee320f2ce,ae3a16c3738acc9,19e2e,19e2e,8lrPAakdPZ,8lrPAakdPZ
Voice,5,2012-05-07 23:25:45.0,5,2882c70711d1bba,1e2e5f6ff071681,19e2e,19e2e,7ivh8SIq8X,7ivh8SIq8X
sms,0,2012-05-07 23:25:53.0,2,3a671c148a6eadd,3a671c148a6eadd,19e2e,19e2e,1AX75JmPtt,1AX75JmPtt
sms,0,2012-05-07 23:25:53.0,5,62c8c0274693812,ebbd96d343d4a01,19e2e,19e2e,2GgIN622rt,2GgIN622rt
sms,50,2012-05-07 23:26:03.0,1,40dd1e4e78dec3f,f50e5096fd2a128,19e2e,19e2e,84GaTlSvVd,84GaTlSvVd
sms,0,2012-05-07 23:26:04.0,2,caeb0c08d21bef9,6649ad505f4faa8,19e2e,19e2e,9C2kuGliRa,9C2kuGliRa
sms,50,2012-05-07 23:26:09.0,0,59691737b8b3d0b,b48c911d55bb9e6,19e2e,19e2e,AmI7qFYUVu,AmI7qFYUVu
Voice,0,2012-05-07 23:26:13.0,0,375f3c26e0fff05,7e16fefa1a5d6e8,19e2e,19e2e,+ZaaZozy/+,+ZaaZozy/+
Voice,346,2012-05-07 23:26:18.0,1,5e07d0b097c396b,2099667fec27ab6,19e2e,19e2e,4R4MmPUDw/,4R4MmPUDw/
data,0,2012-05-07 23:26:19.0,_,9a3b2962a035888,5a4dc9e82deb309,19e2e,OTHER,47yB6si0R9,47yB6si0R9
sms,0,2012-05-07 23:26:23.0,1,b437b15bc8f2b52,bfb2f2ced47e9e3,19e2e,19e2e,A13t/dPIcF,A13t/dPIcF
sms,0,2012-05-07 23:26:24.0,1,6d20322c50d748d,bbe88eb27efbb0f,19e2e,19e2e,4eA1+4uyTK,4eA1+4uyTK
Voice,51,2012-05-07 23:26:27.0,2,7cd0d6f9c350fbf,06bf3858a00f784,19e2e,19e2e,93mO70RgHR,93mO70RgHR
Voice,0,2012-05-07 23:26:29.0,4,870eb8bbcac551b,1a49f8b0ded9de6,19e2e,19e2e,/0LopuZdd7,/0LopuZdd7
sms,25,2012-05-07 23:26:32.0,1,b60e6331edf462f,8f05d8315648837,19e2e,19e2e,BBaYVXRKMU,BBaYVXRKMU
data,0,2012-05-07 23:26:35.0,_,d9d8cd92f46650f,5a4dc9e82deb309,19e2e,OTHER,4eA1+4uyTK,4eA1+4uyTK
sms,0,2012-05-07 23:26:39.0,1,6e8163c694f1f57,790bf7769d9511c,19e2e,19e2e,2GgIN622rt,2GgIN622rt
Voice,80,2012-05-07 23:26:40.0,4,e07e86297388565,c378228398ff19b,19e2e,19e2e,4506CmswTv,4506CmswTv
Voice,0,2012-05-07 23:26:41.0,1,a7b66c1069e8a28,93cbfb517a4989a,19e2e,19e2e,47yB6si0R9,47yB6si0R9
sms,0,2012-05-07 23:26:43.0,0,29b44a8cc9725d2,1a2a0ebf30e8ded,19e2e,19e2e,7nMMXP2kCj,7nMMXP2kCj
sms,0,2012-05-07 23:26:45.0,3,fdde6eaddbeb550,2df5d6af8305823,19e2e,19e2e,2PbwFG2K9y,2PbwFG2K9y
sms,0,2012-05-07 23:26:47.0,2,3de135f230b7101,9963e4bf7a24d3b,19e2e,19e2e,0UFkHqX87G,0UFkHqX87G
data,0,2012-05-07 23:26:47.0,_,fb7cc5dc212f969,5a4dc9e82deb309,19e2e,OTHER,6sY4KEpEo1,6sY4KEpEo1
sms,0,2012-05-07 23:26:50.0,1,245442d72c2698a,b7d3268969a2a2f,19e2e,19e2e,3K9ACMNajP,3K9ACMNajP
sms,0,2012-05-07 23:26:51.0,0,c7138446ec0da08,e1fa67541709942,19e2e,19e2e,4eA1+4uyTK,4eA1+4uyTK
Voice,0,2012-05-07 23:26:55.0,5,65ed36f6d890040,236405c97be1233,19e2e,19e2e,0ttcCQTcpb,0ttcCQTcpb
sms,0,2012-05-07 23:27:07.0,5,8eda291570c980b,a6eb352c7c5d196,19e2e,19e2e,5RMks2Nhbt,5RMks2Nhbt
sms,0,2012-05-07 23:27:08.0,2,f81bb99db8c0373,7af76c2046e02f3,19e2e,OTHER,2q0YsSCxbH,2q0YsSCxbH
sms,0,2012-05-07 23:27:09.0,2,d318d4810fa8cc2,aaaf0e4bdec7311,19e2e,19e2e,3jZNkFBl6Y,3jZNkFBl6Y
