PRODUCT,VALUE,DATE_TIME,CELL_ON_SITE,DW_A_NUMBER_INT,DW_B_NUMBER_INT,COUNTRY_A,COUNTRY_B,CELLID,SIET_ID
Voice,6,2012-05-08 23:11:39.0,4,a9898d11be094e2,fac1b86a9df7c31,19e2e,19e2e,3T/wsniMlZ,3T/wsniMlZ
Voice,67,2012-05-08 23:12:43.0,1,921b54783e083e5,4ff29ed41179634,19e2e,19e2e,0BRdojv2my,0BRdojv2my
data,0,2012-05-08 23:12:48.0,_,15237911674d24c,5a4dc9e82deb309,19e2e,OTHER,0DeimCpZOc,0DeimCpZOc
sms,0,2012-05-08 23:12:52.0,5,2ba8d23615ce12c,c23ba3d84e5c993,19e2e,19e2e,+weksowKR7,+weksowKR7
Voice,22,2012-05-08 23:12:52.0,3,6b74116d841581a,b40d7be35c1ae4b,19e2e,19e2e,301gn/BrU5,301gn/BrU5
Voice,0,2012-05-08 23:13:12.0,0,e458b99899975a9,7fc58b3a83f7236,19e2e,19e2e,/0FxP3az1x,/0FxP3az1x
Voice,60,2012-05-08 23:13:12.0,3,6e0a75995bddd3e,85a02e97afcf8fe,19e2e,19e2e,0TTGQF5ChH,0TTGQF5ChH
sms,0,2012-05-08 23:13:30.0,1,13dd74058c91bff,f718560950f5f35,19e2e,19e2e,4EjHfPYgnD,4EjHfPYgnD
sms,25,2012-05-08 23:13:41.0,4,9c43a0125d2bd1e,82b64fd002445eb,19e2e,19e2e,4eA1+4uyTK,4eA1+4uyTK
sms,0,2012-05-08 23:13:45.0,0,0e66d61411bff79,b09d9cefb856c14,19e2e,19e2e,2LuHm8D2MC,2LuHm8D2MC
sms,25,2012-05-08 23:13:49.0,1,ebd6d4a192a8f2d,4db3d3c754aabe5,19e2e,19e2e,4eA1+4uyTK,4eA1+4uyTK
sms,50,2012-05-08 23:13:53.0,1,06c32ad94205ae1,48c7fba0ccbc923,19e2e,19e2e,/xvRrCVKoQ,/xvRrCVKoQ
Voice,0,2012-05-08 23:13:57.0,0,7f7c1daa959ce06,0791b528f5bc27e,19e2e,19e2e,0UFkHqX87G,0UFkHqX87G
Voice,88,2012-05-08 23:14:03.0,1,8dd12c788a0612a,8b663e183ec7328,19e2e,19e2e,4bv77IHLBw,4bv77IHLBw
sms,0,2012-05-08 23:14:21.0,2,699abfdf4c0f481,ee3caca0f5544ca,19e2e,19e2e,1MTLUFpdzd,1MTLUFpdzd
Voice,159,2012-05-08 23:14:26.0,4,4ac098f40e47f50,ceb34c5ec6b3aa2,19e2e,19e2e,3/2ZhYCSrj,3/2ZhYCSrj
Voice,0,2012-05-08 23:14:42.0,0,63e46e0edbfef49,e0981e6b89533d1,19e2e,19e2e,0mXwALOFFi,0mXwALOFFi
Voice,56,2012-05-08 23:14:44.0,0,c28e50bed218a12,92da2a681d4625f,19e2e,19e2e,35gi1DzgNK,35gi1DzgNK
data,0,2012-05-08 23:14:54.0,_,38013fa9b79c39f,5a4dc9e82deb309,19e2e,OTHER,4R4MmPUDw/,4R4MmPUDw/
Voice,0,2012-05-08 23:14:57.0,1,97f71797a184d8d,7f3a1860e70c194,19e2e,19e2e,4506CmswTv,4506CmswTv
Voice,4,2012-05-08 23:15:05.0,3,4a880d706e381ec,fb3dad61b83ca9c,19e2e,OTHER,44o98M/wq3,44o98M/wq3
data,0,2012-05-08 23:15:08.0,_,ccfb0cecc9bea24,5a4dc9e82deb309,19e2e,OTHER,3T/wsniMlZ,3T/wsniMlZ
sms,25,2012-05-08 23:15:15.0,3,e120951a0cc88f8,8cd8149fb0d65c8,19e2e,19e2e,0TTGQF5ChH,0TTGQF5ChH
Voice,0,2012-05-08 23:15:17.0,2,c2adf061e4a557d,c72b5c29e810aee,19e2e,19e2e,/0FxP3az1x,/0FxP3az1x
sms,0,2012-05-08 23:15:17.0,0,e07cd8097764d8b,ca51edcac83e2a8,19e2e,19e2e,1AX75JmPtt,1AX75JmPtt
sms,0,2012-05-08 23:15:19.0,2,b5be8efe74c3a40,a8ae9b4964ba333,19e2e,19e2e,47yB6si0R9,47yB6si0R9
data,0,2012-05-08 23:15:22.0,_,293cbe03068338c,5a4dc9e82deb309,19e2e,OTHER,4eA1+4uyTK,4eA1+4uyTK
sms,0,2012-05-08 23:15:47.0,3,99d837dba80583f,caa99c53c0969db,19e2e,19e2e,+Fs4mTvdKx,+Fs4mTvdKx
sms,0,2012-05-08 23:15:54.0,1,01ec61ced1d13ab,9062de691ac9ccb,19e2e,19e2e,5fYMdwNUtL,5fYMdwNUtL
Voice,43,2012-05-08 23:15:59.0,1,d5bc4c445cb01b1,f4726b8b82685a4,19e2e,19e2e,22Z3fM8uPX,22Z3fM8uPX
Voice,0,2012-05-08 23:16:09.0,0,0093d23b67ac562,bcfafdf7e63130b,19e2e,19e2e,3/2ZhYCSrj,3/2ZhYCSrj
Voice,92,2012-05-08 23:16:10.0,2,fadfce4b1f48c64,11b1aa228713441,19e2e,19e2e,0/eYPFomxx,0/eYPFomxx
Voice,0,2012-05-08 23:16:22.0,0,a3338df3a4bda07,55ad144fa74fddc,19e2e,19e2e,1DLa1Gsiik,1DLa1Gsiik
Voice,0,2012-05-08 23:16:34.0,4,205e5eadc948620,a844a92f73c7a93,19e2e,19e2e,0cHtVBdVFk,0cHtVBdVFk
Voice,82,2012-05-08 23:16:45.0,0,9599598064ea008,ab90a3b46566a0a,19e2e,19e2e,5bFHC1hRn8,5bFHC1hRn8
Voice,125,2012-05-08 23:16:57.0,2,c06b8ba77297308,b0f158c46c50ad0,19e2e,19e2e,1FvEkI2KCW,1FvEkI2KCW
data,0,2012-05-08 23:17:00.0,_,6efe1a6e7e709d8,5a4dc9e82deb309,19e2e,OTHER,4EjHfPYgnD,4EjHfPYgnD
Voice,0,2012-05-08 23:17:24.0,5,2fa520335181b12,a99f4a16a90d1ff,19e2e,19e2e,1e6np3yqFN,1e6np3yqFN
data,0,2012-05-08 23:17:30.0,_,c03f055b09297df,5a4dc9e82deb309,19e2e,OTHER,/MMplBlWjh,/MMplBlWjh
sms,25,2012-05-08 23:17:33.0,0,e3ac0b4802d2ec2,9409b6e31d0880d,19e2e,19e2e,6dZgOHeA29,6dZgOHeA29
sms,25,2012-05-08 23:17:41.0,2,99b9853de3018c9,4f48618a6495e83,19e2e,19e2e,47yB6si0R9,47yB6si0R9
Voice,269,2012-05-08 23:17:51.0,1,080d87c2e60c320,bf01aa02a47f853,19e2e,19e2e,/xvRrCVKoQ,/xvRrCVKoQ
Voice,15,2012-05-08 23:18:06.0,5,01986da8afc29b6,b531cda56ad04fa,19e2e,19e2e,/eeMklgyJA,/eeMklgyJA
data,396,2012-05-08 23:18:06.0,_,c6674f0915d27ca,5a4dc9e82deb309,19e2e,OTHER,4R4MmPUDw/,4R4MmPUDw/
data,0,2012-05-08 23:18:07.0,_,bc7416c6734b35d,5a4dc9e82deb309,19e2e,OTHER,2cj/HbqLAV,2cj/HbqLAV
Voice,9,2012-05-08 23:18:09.0,2,d08429487bec095,668036d7fc6e391,19e2e,19e2e,2q0YsSCxbH,2q0YsSCxbH
sms,0,2012-05-08 23:18:11.0,5,5aedf4d7062c4b4,d164ed0a0cf2360,19e2e,19e2e,2yuhUrSXQu,2yuhUrSXQu
data,0,2012-05-08 23:18:14.0,_,04ad256e83e2135,5a4dc9e82deb309,19e2e,OTHER,32deIlH9L6,32deIlH9L6
sms,70,2012-05-08 23:18:20.0,2,07f7ce33860888f,744127fe1e03564,19e2e,OTHER,0r4EVaG2A/,0r4EVaG2A/
data,0,2012-05-08 23:18:24.0,_,d03d73c3e04cb6e,5a4dc9e82deb309,19e2e,OTHER,+R5ccmtyJf,+R5ccmtyJf
sms,0,2012-05-08 23:18:24.0,1,fdfac13e191ab8d,e5ecdc82ec35e51,19e2e,19e2e,+gySf02tKW,+gySf02tKW
Voice,0,2012-05-08 23:18:24.0,1,e01f2a4c6cd3e6d,32afea7859f5342,19e2e,19e2e,301gn/BrU5,301gn/BrU5
sms,0,2012-05-08 23:18:27.0,1,3f79a647dd1cbf5,5908e4c2a3caf32,19e2e,19e2e,2LuHm8D2MC,2LuHm8D2MC
Voice,1,2012-05-08 23:18:30.0,1,76a7a5ceb9af32a,1b779726a12d407,19e2e,19e2e,6m99mfvFpw,6m99mfvFpw
sms,0,2012-05-08 23:18:32.0,1,d455b3a7d2a55ba,eaa100b7626d845,19e2e,19e2e,2q0YsSCxbH,2q0YsSCxbH
sms,0,2012-05-08 23:18:33.0,3,69374e80b8bfbd9,fd60c2c19fa4f6d,19e2e,19e2e,40+2aJ4uAc,40+2aJ4uAc
Voice,0,2012-05-08 23:18:34.0,2,53a364f871f3723,e4431a13c34134c,19e2e,19e2e,3jZNkFBl6Y,3jZNkFBl6Y
Voice,0,2012-05-08 23:18:42.0,2,3b72b58273aabfa,1a49f8b0ded9de6,19e2e,19e2e,0/eYPFomxx,0/eYPFomxx
sms,0,2012-05-08 23:18:46.0,1,a544889395d3d05,93343ba6e41af95,19e2e,19e2e,40+2aJ4uAc,40+2aJ4uAc
Voice,0,2012-05-08 23:18:48.0,1,009d065ffda1091,2dd838f8a8421a2,19e2e,19e2e,/vLAMOS+Qm,/vLAMOS+Qm
Voice,0,2012-05-08 23:19:10.0,1,39bb88a64c68e10,a607f97c74ee442,19e2e,19e2e,2LuHm8D2MC,2LuHm8D2MC
sms,0,2012-05-08 23:19:11.0,3,2574294ef58ed4a,43ecb4c526bf4cd,19e2e,19e2e,2JR4kUsBP5,2JR4kUsBP5
Voice,11,2012-05-08 23:19:14.0,0,632faf0a65d1fda,e6e6c1f8944de4c,19e2e,19e2e,0eA3S0GqHt,0eA3S0GqHt
sms,0,2012-05-08 23:19:27.0,1,84da33109efbfa4,5f2d9e83de0906d,19e2e,19e2e,5afrS6KEkg,5afrS6KEkg
data,0,2012-05-08 23:19:45.0,_,74eda3375d1f1c7,5a4dc9e82deb309,19e2e,OTHER,0TTGQF5ChH,0TTGQF5ChH
sms,0,2012-05-08 23:19:51.0,2,c0c17a3a498181d,7c86cde55892369,19e2e,19e2e,5w04RNltpC,5w04RNltpC
data,0,2012-05-08 23:19:54.0,_,ca402fba8331e21,5a4dc9e82deb309,19e2e,OTHER,4Qx5kxOMvS,4Qx5kxOMvS
sms,25,2012-05-08 23:19:59.0,1,9d82e43697117b4,dcb9953fe80ef79,19e2e,19e2e,2JR4kUsBP5,2JR4kUsBP5
Voice,0,2012-05-08 23:20:07.0,4,4623b82e8fd7f38,1a49f8b0ded9de6,19e2e,19e2e,3T/wsniMlZ,3T/wsniMlZ
sms,0,2012-05-08 23:20:30.0,3,7ff14c089c03eac,aaaf0e4bdec7311,19e2e,19e2e,0ttcCQTcpb,0ttcCQTcpb
sms,0,2012-05-08 23:20:54.0,1,bffb2a117d39428,f44dd2a9ee86ce9,19e2e,19e2e,+e+xcimwre,+e+xcimwre
sms,0,2012-05-08 23:20:58.0,1,33c42e98f0aaad7,81fccf26e51a824,19e2e,19e2e,54Pb8dz/52,54Pb8dz/52
Voice,40,2012-05-08 23:21:02.0,2,28b1f14e410d5e7,7eb3d6391380ab4,19e2e,19e2e,+ZaaZozy/+,+ZaaZozy/+
sms,0,2012-05-08 23:21:05.0,4,d40e6ccbcf116ba,23470d3c0cac09d,19e2e,19e2e,5GsUmPuoet,5GsUmPuoet
sms,0,2012-05-08 23:21:06.0,3,99d837dba80583f,21ab26ed6816590,19e2e,19e2e,+pZNtCvhmT,+pZNtCvhmT
Voice,0,2012-05-08 23:21:09.0,0,905a6e48c0b7607,a39db7769eb3a1c,19e2e,19e2e,0/eYPFomxx,0/eYPFomxx
sms,0,2012-05-08 23:21:24.0,0,8ab8b9ed6989f61,e09e736e46c5c3d,19e2e,19e2e,++ctND+jGD,++ctND+jGD
sms,25,2012-05-08 23:21:28.0,1,5352c14659cb874,101736cb666a425,19e2e,19e2e,47yB6si0R9,47yB6si0R9
data,1,2012-05-08 23:21:29.0,_,5106aadbe39d70d,5a4dc9e82deb309,19e2e,OTHER,0MZBLLzPYZ,0MZBLLzPYZ
data,0,2012-05-08 23:21:30.0,_,7ef362c7aa5737d,5a4dc9e82deb309,19e2e,OTHER,8lrPAakdPZ,8lrPAakdPZ
sms,50,2012-05-08 23:21:32.0,1,a116639ca4f3540,2d3cfccb6359ea0,19e2e,19e2e,3mQAiRAfo7,3mQAiRAfo7
sms,0,2012-05-08 23:21:34.0,5,e2206c633775bb8,5860bca5ce8fda6,19e2e,19e2e,2aXXOLyR5M,2aXXOLyR5M
sms,0,2012-05-08 23:21:39.0,0,e811213b79ae2d4,aaaf0e4bdec7311,19e2e,19e2e,2GgIN622rt,2GgIN622rt
sms,0,2012-05-08 23:21:51.0,2,4b3984c88384f41,2f62d8b46a81bd4,19e2e,19e2e,3/2ZhYCSrj,3/2ZhYCSrj
Voice,8,2012-05-08 23:21:54.0,0,dc8eeed3da73433,bc79a2592f0d565,19e2e,OTHER,5HIw+QO+tV,5HIw+QO+tV
Voice,6,2012-05-08 23:22:05.0,0,1935ef5c5e7946b,991bf56a0cb8ee2,19e2e,19e2e,72oK29w3II,72oK29w3II
sms,0,2012-05-08 23:22:16.0,2,d63191f162490d4,e09e736e46c5c3d,19e2e,19e2e,/0FxP3az1x,/0FxP3az1x
data,38,2012-05-08 23:22:24.0,_,156a22cf648c823,5a4dc9e82deb309,19e2e,OTHER,1mtIa2GRBc,1mtIa2GRBc
Voice,10,2012-05-08 23:23:01.0,2,f26847a0cbbf4e8,194a3e0e3c3809c,19e2e,19e2e,6/1Gti3zBg,6/1Gti3zBg
sms,0,2012-05-08 23:23:15.0,0,c0593b7eb28f282,d715876c3996f7b,19e2e,19e2e,18iJZATMMC,18iJZATMMC
Voice,305,2012-05-08 23:23:16.0,2,23f297a08aa235a,1d64d8d67b6920e,19e2e,19e2e,9C2kuGliRa,9C2kuGliRa
Voice,0,2012-05-08 23:23:52.0,2,1edd344b8e69e70,afd203b48dd83aa,19e2e,19e2e,2aXXOLyR5M,2aXXOLyR5M
Voice,10,2012-05-08 23:23:58.0,1,97e3d6b40d725b0,60f5fb2b2cceea8,19e2e,19e2e,0mXwALOFFi,0mXwALOFFi
sms,0,2012-05-08 23:24:06.0,0,fdfac13e191ab8d,404e73c01764c05,19e2e,19e2e,+weksowKR7,+weksowKR7
sms,50,2012-05-08 23:24:17.0,2,aa8b99f96264d82,52a1d700178e049,19e2e,19e2e,AOK0ydVcML,AOK0ydVcML
Voice,0,2012-05-08 23:24:18.0,3,cc2dc9b6ccba6c5,e422a5f64e838d4,19e2e,19e2e,6sY4KEpEo1,6sY4KEpEo1
Voice,0,2012-05-08 23:24:24.0,0,483ebad75d37fe9,de1b694a6b4ad20,19e2e,19e2e,/u0FSD+ahi,/u0FSD+ahi
sms,0,2012-05-08 23:24:36.0,1,af48395f2e2f94b,3e78f6ad15ab2d2,19e2e,19e2e,7ivh8SIq8X,7ivh8SIq8X
Voice,1,2012-05-08 23:25:04.0,2,1fc3469d46d6d42,5bf286c0ab1ded0,19e2e,19e2e,4nmbKTjvfr,4nmbKTjvfr
Voice,18,2012-05-08 23:25:17.0,4,b381fc171b8645d,e45a08bf279a23b,19e2e,19e2e,4oRa9YwYR4,4oRa9YwYR4
Voice,0,2012-05-08 23:25:22.0,2,da9ddf67024b0a3,05b536989c57ec4,19e2e,19e2e,+38u2u/rfx,+38u2u/rfx
sms,0,2012-05-08 23:25:26.0,0,fa36eaef5c7a632,93343ba6e41af95,19e2e,19e2e,0Fmr/IZtQ+,0Fmr/IZtQ+
sms,0,2012-05-08 23:25:26.0,0,8ab8b9ed6989f61,e09e736e46c5c3d,19e2e,19e2e,2cj/HbqLAV,2cj/HbqLAV
Voice,0,2012-05-08 23:25:32.0,3,d6ab0eb5e65e5ab,d24d2c4ccb76e59,19e2e,19e2e,13HRN5dKgY,13HRN5dKgY
Voice,0,2012-05-08 23:25:37.0,2,152d0b75d6d7925,d0756b8fb9da34e,19e2e,19e2e,1AX75JmPtt,1AX75JmPtt
sms,0,2012-05-08 23:25:41.0,2,3c0d5f90d5f489d,7455bef91dfcb46,19e2e,19e2e,0/eYPFomxx,0/eYPFomxx
Voice,48,2012-05-08 23:25:42.0,3,b853dbfa246db75,4dceb7c15e62e45,19e2e,19e2e,/EkqCbWDau,/EkqCbWDau
sms,0,2012-05-08 23:25:54.0,0,11875cd0f175e29,81e2f66022f808b,19e2e,19e2e,3yeW6Punpk,3yeW6Punpk
sms,0,2012-05-08 23:25:54.0,2,799695c2d24b9a9,e09e736e46c5c3d,19e2e,19e2e,6wx/uwX8LG,6wx/uwX8LG
data,0,2012-05-08 23:25:55.0,_,a0958bc5dd65339,5a4dc9e82deb309,19e2e,OTHER,0MZBLLzPYZ,0MZBLLzPYZ
Voice,82,2012-05-08 23:26:06.0,4,319a36b36774fc9,41e130ca0af95ac,19e2e,19e2e,8X69F2OHjn,8X69F2OHjn
sms,25,2012-05-08 23:26:06.0,0,fcfbe6987fff855,abeeb46fb9eaf68,19e2e,19e2e,A0Zx8a4rBD,A0Zx8a4rBD
Voice,0,2012-05-08 23:26:11.0,1,259194bb72f6579,055dfd7d7399db8,19e2e,19e2e,08dxZmJxU8,08dxZmJxU8
sms,0,2012-05-08 23:26:35.0,0,f0e3051a1f22a79,d164ed0a0cf2360,19e2e,19e2e,/lW1z7T9L8,/lW1z7T9L8
Voice,0,2012-05-08 23:26:38.0,2,90b9b099e684897,32a16be8ed60d14,19e2e,19e2e,6hDV1hwf/K,6hDV1hwf/K
Voice,0,2012-05-08 23:26:54.0,0,42e2cdeee77b0ea,e8145119b988c93,19e2e,19e2e,9/CstAxGD8,9/CstAxGD8
sms,0,2012-05-08 23:26:58.0,4,16f572fe5d861cd,aaaf0e4bdec7311,19e2e,19e2e,6I6iMT9PAR,6I6iMT9PAR
Voice,0,2012-05-08 23:26:59.0,1,9f2c98286871c2f,479c273f34b22e3,19e2e,19e2e,2Sal9YobRK,2Sal9YobRK
Voice,34,2012-05-08 23:27:22.0,0,7c13901d94d9ca4,db73528ce4153ab,19e2e,19e2e,C8grE5ZbNp,C8grE5ZbNp
Voice,2,2012-05-08 23:27:24.0,0,027a94f834f60bd,48d30ce415d2145,19e2e,19e2e,+pZNtCvhmT,+pZNtCvhmT
sms,0,2012-05-08 23:27:42.0,3,7ee54d191243d17,f7b2bbad76fce09,19e2e,19e2e,93mO70RgHR,93mO70RgHR
Voice,0,2012-05-08 23:27:44.0,1,caad4296578597d,c175b1c8b8bffe0,19e2e,19e2e,3/2ZhYCSrj,3/2ZhYCSrj
Voice,0,2012-05-08 23:27:49.0,0,a35d8784299ed17,e168723b9ccbef8,19e2e,19e2e,A7EpsaGbRr,A7EpsaGbRr
sms,0,2012-05-08 23:27:50.0,2,cb6a02fde166b94,aaaf0e4bdec7311,19e2e,19e2e,6i0cAvBgMU,6i0cAvBgMU
sms,0,2012-05-08 23:27:50.0,4,4b74fe6e712a7ec,93343ba6e41af95,19e2e,19e2e,84GaTlSvVd,84GaTlSvVd
sms,0,2012-05-08 23:27:56.0,2,efc0def68212677,53c3da9b7651816,19e2e,19e2e,6hDV1hwf/K,6hDV1hwf/K
sms,0,2012-05-08 23:28:02.0,1,e8191b4c796f6a8,af55cd91665c25b,19e2e,19e2e,0ttcCQTcpb,0ttcCQTcpb
sms,0,2012-05-08 23:28:10.0,5,8f8ecd43cb730d0,fdb8b764172befd,19e2e,19e2e,3/2ZhYCSrj,3/2ZhYCSrj
sms,25,2012-05-08 23:28:11.0,2,51a71ec23d0bd34,ead1c3ec8a18f58,19e2e,19e2e,0eNnL1pokg,0eNnL1pokg
Voice,23,2012-05-08 23:28:28.0,0,692cab6a803ea94,0374500ad7b3cac,19e2e,19e2e,8lrPAakdPZ,8lrPAakdPZ
sms,0,2012-05-08 23:28:46.0,2,c0c17a3a498181d,9fb0484d0a8d769,19e2e,19e2e,6dZgOHeA29,6dZgOHeA29
Voice,0,2012-05-08 23:28:51.0,4,193e17ed640825b,55ad144fa74fddc,19e2e,19e2e,A13t/dPIcF,A13t/dPIcF
Voice,90,2012-05-08 23:29:01.0,5,f7dbbc10ec533a6,45879bc480fa2ec,19e2e,19e2e,2LuHm8D2MC,2LuHm8D2MC
Voice,60,2012-05-08 23:29:02.0,1,6dec4f58ecd19de,bc141e8d24dedb7,19e2e,19e2e,51qrsXM+vt,51qrsXM+vt
data,0,2012-05-08 23:29:17.0,_,4e04702c7b73252,5a4dc9e82deb309,19e2e,OTHER,4jFl+3ArCh,4jFl+3ArCh
sms,0,2012-05-08 23:29:18.0,1,b490b6511c3d18d,69e79c027c6017a,19e2e,19e2e,22Z3fM8uPX,22Z3fM8uPX
sms,0,2012-05-08 23:29:23.0,1,6117819e1f73742,f6d607406d22a6f,19e2e,19e2e,/eeMklgyJA,/eeMklgyJA
sms,0,2012-05-08 23:29:30.0,1,40b900aa5c16b4f,5d5826c3f5ad437,19e2e,19e2e,+YzQI97cPp,+YzQI97cPp
sms,0,2012-05-08 23:29:32.0,5,d865d3e0e6033d9,4119f48fbd21f1b,19e2e,19e2e,72oK29w3II,72oK29w3II
sms,0,2012-05-08 23:29:33.0,2,1457b8d494c5c90,e8feca50cc82cff,19e2e,19e2e,A4qKbVuQeJ,A4qKbVuQeJ
sms,0,2012-05-08 23:29:44.0,0,a2a70a772ad43b7,1606f19011b0e47,19e2e,19e2e,+ZaaZozy/+,+ZaaZozy/+
data,0,2012-05-08 23:29:44.0,_,95df41b984e54b5,5a4dc9e82deb309,19e2e,OTHER,/xvRrCVKoQ,/xvRrCVKoQ
Voice,0,2012-05-08 23:29:47.0,0,25f507ce5b2721b,dbcf477fe185888,19e2e,19e2e,/u0FSD+ahi,/u0FSD+ahi
Voice,150,2012-05-08 23:29:58.0,0,5370cda2f69cc33,333e5cf750e184c,19e2e,19e2e,3IoIGy1+o8,3IoIGy1+o8
sms,0,2012-05-08 23:30:25.0,2,3c0d5f90d5f489d,e162f91f78f60cd,19e2e,19e2e,18iJZATMMC,18iJZATMMC
data,63,2012-05-08 23:30:45.0,_,b0dd3535ba50ac4,5a4dc9e82deb309,19e2e,OTHER,7nMMXP2kCj,7nMMXP2kCj
sms,0,2012-05-08 23:30:46.0,5,a2c50cd9a594f4d,39d40b42e38cbc3,19e2e,19e2e,6fHCwYGXt4,6fHCwYGXt4
sms,25,2012-05-08 23:30:52.0,2,4ab37b9ffc4c2fe,66fd09c7185e50e,19e2e,19e2e,A13t/dPIcF,A13t/dPIcF
sms,0,2012-05-08 23:31:15.0,1,949482b13173ec8,e0915d3f9ff1430,19e2e,19e2e,A4qKbVuQeJ,A4qKbVuQeJ
Voice,9,2012-05-08 23:31:18.0,1,d399c5435d28e64,73eaa1234b1af4b,19e2e,19e2e,AmI7qFYUVu,AmI7qFYUVu
data,0,2012-05-08 23:31:30.0,_,f8be9a3d9725658,5a4dc9e82deb309,19e2e,OTHER,BOhNtjjr5l,BOhNtjjr5l
