;VILLES;STATUS;LOCALISATION;DECOUPZONE;ZONENAME;LONGITUDE;LATITUDE;REGION;AREA;CELL_ID;SITE_CODE
19;PLATEAU;In Service;ABIDJAN;"""Abidjan_CENTRE";TIAMA;-4.01986111111111;5.32608333333333;LAGUNE;;ddb6bc11df;aaca2668a7
20;PLATEAU;In Service;ABIDJAN;"""Abidjan_CENTRE";TIAMA;-4.01986111111111;5.32608333333333;LAGUNE;;c4d2b0444b;aaca2668a7
21;ADJAME;In Service;ABIDJAN;"""Abidjan_EST";WILLIAMSVILLE2;-4.02880555555556;5.37613888888889;LAGUNE;;fa307adc83;92d827bd96
22;ADJAME;In Service;ABIDJAN;"""Abidjan_EST";WILLIAMSVILLE2;-4.02880555555556;5.37613888888889;LAGUNE;;4ddfebaf66;92d827bd96
23;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.01413888888889;5.4335;LAGUNE;ABIDJAN NORTH;f740406877;0f34c36ac5
24;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.01413888888889;5.4335;LAGUNE;ABIDJAN NORTH;959e54c8f7;0f34c36ac5
25;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.01413888888889;5.4335;LAGUNE;ABIDJAN NORTH;56b7e7000c;0f34c36ac5
26;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.01413888888889;5.4335;LAGUNE;ABIDJAN NORTH;bc51c17a6f;0f34c36ac5
27;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.01413888888889;5.4335;LAGUNE;ABIDJAN NORTH;e460975c9f;0f34c36ac5
28;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.01413888888889;5.4335;LAGUNE;ABIDJAN NORTH;2d125e9a95;0f34c36ac5
29;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.05919444444444;5.44861111111111;LAGUNE;ABIDJAN NORTH;7cf207ef76;7430461f18
30;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.05919444444444;5.44861111111111;LAGUNE;ABIDJAN NORTH;49377d7ad6;7430461f18
31;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.05919444444444;5.44861111111111;LAGUNE;ABIDJAN NORTH;558c31e1a6;7430461f18
32;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.05919444444444;5.44861111111111;LAGUNE;ABIDJAN NORTH;6a7a3aeebe;7430461f18
33;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.05919444444444;5.44861111111111;LAGUNE;ABIDJAN NORTH;28ef177389;7430461f18
34;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.05919444444444;5.44861111111111;LAGUNE;ABIDJAN NORTH;fb7b3b953d;7430461f18
35;BINGERVILLE;In Service;ABIDJAN;Abidjan_EST;ZONE B - Abidjan_EST;-3.91958333333333;5.34608333333333;LAGUNE;ABIDJAN NORTH;1ca30ab7f2;ed2333b820
36;BINGERVILLE;In Service;ABIDJAN;Abidjan_EST;ZONE B - Abidjan_EST;-3.91958333333333;5.34608333333333;LAGUNE;ABIDJAN NORTH;70ca5922f2;ed2333b820
37;BINGERVILLE;In Service;ABIDJAN;Abidjan_EST;ZONE B - Abidjan_EST;-3.91958333333333;5.34608333333333;LAGUNE;ABIDJAN NORTH;a587218b55;ed2333b820
38;DALOA;In Service;INTERIEUR;Grand-OUEST;ZONE D - Grand-OUEST;-6.43402777777778;6.85966666666667;HAUT SASSANDRA;NORTH WEST;d133371158;06c4cb622d
39;DALOA;In Service;INTERIEUR;Grand-OUEST;ZONE D - Grand-OUEST;-6.43402777777778;6.85966666666667;HAUT SASSANDRA;NORTH WEST;77c2b596ad;06c4cb622d
40;DALOA;In Service;INTERIEUR;Grand-OUEST;ZONE D - Grand-OUEST;-6.43402777777778;6.85966666666667;HAUT SASSANDRA;NORTH WEST;9cc0a0a14a;06c4cb622d
41;DALOA;In Service;INTERIEUR;Grand-OUEST;ZONE D - Grand-OUEST;-6.43402777777778;6.85966666666667;HAUT SASSANDRA;NORTH WEST;af4aefb2f4;06c4cb622d
42;DALOA;In Service;INTERIEUR;Grand-OUEST;ZONE D - Grand-OUEST;-6.43402777777778;6.85966666666667;HAUT SASSANDRA;NORTH WEST;de28a5d4d6;06c4cb622d
43;DALOA;In Service;INTERIEUR;Grand-OUEST;ZONE D - Grand-OUEST;-6.43402777777778;6.85966666666667;HAUT SASSANDRA;NORTH WEST;6d0fccf527;06c4cb622d
44;ABENGOUROU;In Service;INTERIEUR;Grand-EST;ZONE C - Grand-EST;-3.51483333333333;6.72233333333333;MOYEN COMOE;EAST;8cdfc1bc65;6e87d6cb59
45;ABENGOUROU;In Service;INTERIEUR;Grand-EST;ZONE C - Grand-EST;-3.51483333333333;6.72233333333333;MOYEN COMOE;EAST;068ef168c8;6e87d6cb59
46;ABENGOUROU;In Service;INTERIEUR;Grand-EST;ZONE C - Grand-EST;-3.51483333333333;6.72233333333333;MOYEN COMOE;EAST;f27e3dc31d;6e87d6cb59
47;ABENGOUROU;In Service;INTERIEUR;Grand-EST;ZONE C - Grand-EST;-3.48047222222222;6.71816666666667;MOYEN COMOE;EAST;409393b253;aa2d7103fc
48;ABENGOUROU;In Service;INTERIEUR;Grand-EST;ZONE C - Grand-EST;-3.48047222222222;6.71816666666667;MOYEN COMOE;EAST;cdb74d6e84;aa2d7103fc
49;ABENGOUROU;In Service;INTERIEUR;Grand-EST;ZONE C - Grand-EST;-3.48047222222222;6.71816666666667;MOYEN COMOE;EAST;5b2176898a;aa2d7103fc
50;ABENGOUROU;In Service;INTERIEUR;Grand-EST;ZONE C - Grand-EST;-3.4975;6.72741666666667;MOYEN COMOE;EAST;6954a418ce;00197a4f5f
51;ABENGOUROU;In Service;INTERIEUR;Grand-EST;ZONE C - Grand-EST;-3.4975;6.72741666666667;MOYEN COMOE;EAST;2e4b9ad370;00197a4f5f
52;ABENGOUROU;In Service;INTERIEUR;Grand-EST;ZONE C - Grand-EST;-3.4975;6.72741666666667;MOYEN COMOE;EAST;aa42aca73b;00197a4f5f
53;ABENGOUROU;In Service;INTERIEUR;Grand-EST;ZONE C - Grand-EST;-3.50622222222222;6.74194444444444;MOYEN COMOE;EAST;564d597366;547385b9d5
54;ABENGOUROU;In Service;INTERIEUR;Grand-EST;ZONE C - Grand-EST;-3.50622222222222;6.74194444444444;MOYEN COMOE;EAST;c811bd179b;547385b9d5
55;ABENGOUROU;In Service;INTERIEUR;Grand-EST;ZONE C - Grand-EST;-3.50622222222222;6.74194444444444;MOYEN COMOE;EAST;a43c9bf333;547385b9d5
56;ABENGOUROU;In Service;INTERIEUR;Grand-EST;ZONE C - Grand-EST;-3.48019444444444;6.73930555555556;MOYEN COMOE;EAST;ff33a69318;40cb5c4468
57;ABENGOUROU;In Service;INTERIEUR;Grand-EST;ZONE C - Grand-EST;-3.48019444444444;6.73930555555556;MOYEN COMOE;EAST;330e0056d3;40cb5c4468
58;ABENGOUROU;In Service;INTERIEUR;Grand-EST;ZONE C - Grand-EST;-3.48019444444444;6.73930555555556;MOYEN COMOE;EAST;318b00a960;40cb5c4468
59;ABENGOUROU;In Service;INTERIEUR;Grand-EST;ZONE C - Grand-EST;-3.48019444444444;6.73930555555556;MOYEN COMOE;EAST;9413d07006;40cb5c4468
60;ABENGOUROU;In Service;INTERIEUR;Grand-EST;ZONE C - Grand-EST;-3.48019444444444;6.73930555555556;MOYEN COMOE;EAST;da0a0f5dcd;40cb5c4468
61;ABENGOUROU;In Service;INTERIEUR;Grand-EST;ZONE C - Grand-EST;-3.48019444444444;6.73930555555556;MOYEN COMOE;EAST;30ae371516;40cb5c4468
62;ABENGOUROU;In Service;INTERIEUR;Grand-EST;ZONE C - Grand-EST;-3.4975;6.72741666666667;MOYEN COMOE;EAST;969c39ae2d;00197a4f5f
63;ABENGOUROU;In Service;INTERIEUR;Grand-EST;ZONE C - Grand-EST;-3.4975;6.72741666666667;MOYEN COMOE;EAST;8a1e6ce31f;00197a4f5f
64;ABENGOUROU;In Service;INTERIEUR;Grand-EST;ZONE C - Grand-EST;-3.4975;6.72741666666667;MOYEN COMOE;EAST;9bd64a932f;00197a4f5f
65;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.00783333333333;5.44061111111111;LAGUNE;ABIDJAN NORTH;4328f15c66;4df1cab780
66;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.00783333333333;5.44061111111111;LAGUNE;ABIDJAN NORTH;9f10dbbb99;4df1cab780
67;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.00783333333333;5.44061111111111;LAGUNE;ABIDJAN NORTH;49bc81d3b2;4df1cab780
68;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.00783333333333;5.44061111111111;LAGUNE;ABIDJAN NORTH;71fb04e216;4df1cab780
69;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.00783333333333;5.44061111111111;LAGUNE;ABIDJAN NORTH;4cdaa464e7;4df1cab780
70;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.00783333333333;5.44061111111111;LAGUNE;ABIDJAN NORTH;a64d6038c5;4df1cab780
71;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.01916666666667;5.42505555555556;LAGUNE;ABIDJAN NORTH;d214f6d918;8117043112
72;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.01916666666667;5.42505555555556;LAGUNE;ABIDJAN NORTH;81bdbbf775;8117043112
73;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.01916666666667;5.42505555555556;LAGUNE;ABIDJAN NORTH;80de4c7ba6;8117043112
74;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.01916666666667;5.42505555555556;LAGUNE;ABIDJAN NORTH;7597651fab;8117043112
75;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.01916666666667;5.42505555555556;LAGUNE;ABIDJAN NORTH;471dfb0a7d;8117043112
76;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.01916666666667;5.42505555555556;LAGUNE;ABIDJAN NORTH;2c5b020e51;8117043112
77;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.02333333333333;5.42741666666667;LAGUNE;ABIDJAN NORTH;d43ccddfde;2371f0c1df
78;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.02333333333333;5.42741666666667;LAGUNE;ABIDJAN NORTH;d2b3225b25;2371f0c1df
79;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.02333333333333;5.42741666666667;LAGUNE;ABIDJAN NORTH;8b9fcb248f;2371f0c1df
80;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.02333333333333;5.42741666666667;LAGUNE;ABIDJAN NORTH;257ffc6214;2371f0c1df
81;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.02333333333333;5.42741666666667;LAGUNE;ABIDJAN NORTH;5c75b48e72;2371f0c1df
82;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.02333333333333;5.42741666666667;LAGUNE;ABIDJAN NORTH;b982e56e2a;2371f0c1df
83;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.02016666666667;5.41147222222222;LAGUNE;ABIDJAN NORTH;a97cf2cba0;70a989da87
84;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.02016666666667;5.41147222222222;LAGUNE;ABIDJAN NORTH;729fdf3ff8;70a989da87
85;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.02016666666667;5.41147222222222;LAGUNE;ABIDJAN NORTH;033f3acd20;70a989da87
86;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.02016666666667;5.41147222222222;LAGUNE;ABIDJAN NORTH;5fb108850b;70a989da87
87;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.02016666666667;5.41147222222222;LAGUNE;ABIDJAN NORTH;98aeb969b3;70a989da87
88;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.02016666666667;5.41147222222222;LAGUNE;ABIDJAN NORTH;d7e48cc8fe;70a989da87
89;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-3.98244444444444;5.42502777777778;LAGUNE;ABIDJAN NORTH;704c5b2d5d;1c5e6fb08e
90;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-3.98244444444444;5.42502777777778;LAGUNE;ABIDJAN NORTH;d9e9cffced;1c5e6fb08e
91;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-3.98244444444444;5.42502777777778;LAGUNE;ABIDJAN NORTH;f20daa4efa;1c5e6fb08e
92;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-3.99227777777778;5.41852777777778;LAGUNE;ABIDJAN NORTH;20e538182a;ad67d8727e
93;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-3.99227777777778;5.41852777777778;LAGUNE;ABIDJAN NORTH;ac7829fb66;ad67d8727e
94;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-3.99227777777778;5.41852777777778;LAGUNE;ABIDJAN NORTH;e690e22c08;ad67d8727e
95;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-3.99227777777778;5.41852777777778;LAGUNE;ABIDJAN NORTH;2c18b14d1a;ad67d8727e
96;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-3.99227777777778;5.41852777777778;LAGUNE;ABIDJAN NORTH;ac60e8e2ba;ad67d8727e
97;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-3.99227777777778;5.41852777777778;LAGUNE;ABIDJAN NORTH;d73eea8c61;ad67d8727e
98;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.02333333333333;5.45027777777778;LAGUNE;ABIDJAN NORTH;9e8a10be39;d4b46cdec7
99;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.02333333333333;5.45027777777778;LAGUNE;ABIDJAN NORTH;8cee22269d;d4b46cdec7
100;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.02333333333333;5.45027777777778;LAGUNE;ABIDJAN NORTH;9b530a591c;d4b46cdec7
101;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.02333333333333;5.45027777777778;LAGUNE;ABIDJAN NORTH;8635c559fe;d4b46cdec7
102;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.02333333333333;5.45027777777778;LAGUNE;ABIDJAN NORTH;5abecf0107;d4b46cdec7
103;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.02333333333333;5.45027777777778;LAGUNE;ABIDJAN NORTH;898571933a;d4b46cdec7
104;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.00752777777778;5.41586111111111;LAGUNE;ABIDJAN NORTH;4f81d93bc5;7bb5edf329
105;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.00752777777778;5.41586111111111;LAGUNE;ABIDJAN NORTH;15234696d7;7bb5edf329
106;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.00752777777778;5.41586111111111;LAGUNE;ABIDJAN NORTH;1a2ec56b9f;7bb5edf329
107;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.00752777777778;5.41586111111111;LAGUNE;ABIDJAN NORTH;947b96a9ae;7bb5edf329
108;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.00752777777778;5.41586111111111;LAGUNE;ABIDJAN NORTH;d2d326bd73;7bb5edf329
109;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.00752777777778;5.41586111111111;LAGUNE;ABIDJAN NORTH;a26abe7e67;7bb5edf329
110;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.01505555555556;5.42063888888889;LAGUNE;ABIDJAN NORTH;bc0980d9e2;651c6d67d4
111;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.01505555555556;5.42063888888889;LAGUNE;ABIDJAN NORTH;700248aeb9;651c6d67d4
112;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.01505555555556;5.42063888888889;LAGUNE;ABIDJAN NORTH;2dd9e174af;651c6d67d4
113;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.01505555555556;5.42063888888889;LAGUNE;ABIDJAN NORTH;dd43a7ec62;651c6d67d4
114;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.01505555555556;5.42063888888889;LAGUNE;ABIDJAN NORTH;e80374d401;651c6d67d4
115;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.01505555555556;5.42063888888889;LAGUNE;ABIDJAN NORTH;1333fcd0dc;651c6d67d4
116;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.01837222222222;5.40831388888889;LAGUNE;ABIDJAN NORTH;73ba941ea0;46f254f80c
117;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.01837222222222;5.40831388888889;LAGUNE;ABIDJAN NORTH;de1d0bde69;46f254f80c
118;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.01837222222222;5.40831388888889;LAGUNE;ABIDJAN NORTH;307980a6f3;46f254f80c
119;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.01836111111111;5.40416666666667;LAGUNE;ABIDJAN NORTH;02b746900e;50141ace80
120;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.01836111111111;5.40416666666667;LAGUNE;ABIDJAN NORTH;ca4453138a;50141ace80
121;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.01836111111111;5.40416666666667;LAGUNE;ABIDJAN NORTH;4ee434e480;50141ace80
122;ATTECOUBE;In Service;ABIDJAN;Abidjan_OUEST;ZONE C - Abidjan_OUEST;-4.03783333333333;5.30975;LAGUNE;ABIDJAN NORTH;5c2f9821a4;f56286a418
123;ATTECOUBE;In Service;ABIDJAN;Abidjan_OUEST;ZONE C - Abidjan_OUEST;-4.03783333333333;5.30975;LAGUNE;ABIDJAN NORTH;e4112de487;f56286a418
124;ATTECOUBE;In Service;ABIDJAN;Abidjan_OUEST;ZONE C - Abidjan_OUEST;-4.03783333333333;5.30975;LAGUNE;ABIDJAN NORTH;b39249e96b;f56286a418
125;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.01969444444444;5.42938888888889;LAGUNE;ABIDJAN NORTH;aae215a28a;c1ec9c885f
126;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.01969444444444;5.42938888888889;LAGUNE;ABIDJAN NORTH;6d945d687d;c1ec9c885f
127;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.01969444444444;5.42938888888889;LAGUNE;ABIDJAN NORTH;73974f7f81;c1ec9c885f
128;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.01969444444444;5.42938888888889;LAGUNE;ABIDJAN NORTH;549df73767;c1ec9c885f
129;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.01969444444444;5.42938888888889;LAGUNE;ABIDJAN NORTH;164424340e;c1ec9c885f
130;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.01969444444444;5.42938888888889;LAGUNE;ABIDJAN NORTH;5ef774faad;c1ec9c885f
131;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.01888888888889;5.44644444444444;LAGUNE;ABIDJAN NORTH;eb87c4fc46;e7f9159de4
132;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.01888888888889;5.44644444444444;LAGUNE;ABIDJAN NORTH;22caa60ea1;e7f9159de4
133;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.01888888888889;5.44644444444444;LAGUNE;ABIDJAN NORTH;ac5310b7af;e7f9159de4
134;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.01888888888889;5.44644444444444;LAGUNE;ABIDJAN NORTH;6dc22a0605;e7f9159de4
135;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.01888888888889;5.44644444444444;LAGUNE;ABIDJAN NORTH;41278aa433;e7f9159de4
136;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.01888888888889;5.44644444444444;LAGUNE;ABIDJAN NORTH;01443c5643;e7f9159de4
137;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.01777777777778;5.41722222222222;LAGUNE;ABIDJAN NORTH;d3564b99fa;a3efd45afb
138;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.01777777777778;5.41722222222222;LAGUNE;ABIDJAN NORTH;84f8e207d1;a3efd45afb
139;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.01777777777778;5.41722222222222;LAGUNE;ABIDJAN NORTH;391aa2d50c;a3efd45afb
140;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.01277777777778;5.41633333333333;LAGUNE;ABIDJAN NORTH;ffa0b81471;2dd67b6a64
141;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.01277777777778;5.41633333333333;LAGUNE;ABIDJAN NORTH;393fa08665;2dd67b6a64
142;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.01277777777778;5.41633333333333;LAGUNE;ABIDJAN NORTH;c61500abd1;2dd67b6a64
143;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.025975;5.41542777777778;LAGUNE;ABIDJAN NORTH;06cb7192ee;73974f7f81
144;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.025975;5.41542777777778;LAGUNE;ABIDJAN NORTH;f0defa2ddc;73974f7f81
145;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.025975;5.41542777777778;LAGUNE;ABIDJAN NORTH;938262f680;73974f7f81
146;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.01513888888889;5.42422222222222;LAGUNE;ABIDJAN NORTH;ceb30e40e8;59a53648cd
147;ABOBO;In Service;ABIDJAN;Abidjan_NORD;ZONE E - Abidjan_NORD;-4.01513888888889;5.42422222222222;LAGUNE;ABIDJAN NORTH;521533279a;59a53648cd
